Date : 2024-06-20 17:42:54
Directory : d:\KhoiDz\package-manager
Total : 73 files,  1461 codes, 121 comments, 248 blanks, all 1830 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| package-manager-fe\src\components\custom\management-view\statistics-table-view\total-waybill-table                                                     |          1 |        -24 |          0 |         -2 |        -26 |
| package-manager-fe\src\components\ui                                                                                                                   |          1 |        126 |          0 |         14 |        140 |
| package-manager-fe\src\interface                                                                                                                       |          1 |         -4 |          0 |          0 |         -4 |
| package-manager-fe\src\redux                                                                                                                           |          1 |         58 |         -1 |          0 |         57 |
| package-manager-fe\src\redux\slices                                                                                                                    |          1 |         58 |         -1 |          0 |         57 |
| package-manager-fe\src\services                                                                                                                        |          2 |          8 |          2 |          1 |         11 |
| package-manager-fe\src\views                                                                                                                           |          1 |         17 |          0 |          2 |         19 |
| package-manager-fe\src\views\management-view                                                                                                           |          1 |         17 |          0 |          2 |         19 |
| package-manager-fe\src\views\management-view\statistics-table-view                                                                                     |          1 |         17 |          0 |          2 |         19 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                               | language        | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\KhoiDz\package-manager\.idea\codeStyles\Project.xml                                                                                                 | XML             |          7 |          0 |          0 |          7 |
| d:\KhoiDz\package-manager\.idea\codeStyles\codeStyleConfig.xml                                                                                         | XML             |          5 |          0 |          0 |          5 |
| d:\KhoiDz\package-manager\.idea\modules.xml                                                                                                            | XML             |          8 |          0 |          0 |          8 |
| d:\KhoiDz\package-manager\.idea\package-manager.iml                                                                                                    | XML             |          9 |          0 |          0 |          9 |
| d:\KhoiDz\package-manager\.idea\vcs.xml                                                                                                                | XML             |          6 |          0 |          0 |          6 |
| d:\KhoiDz\package-manager\.idea\workspace.xml                                                                                                          | XML             |         66 |          0 |          0 |         66 |
| d:\KhoiDz\package-manager\package-manager-be\.mvn\wrapper\maven-wrapper.properties                                                                     | Java Properties |          2 |          0 |          1 |          3 |
| d:\KhoiDz\package-manager\package-manager-be\mvnw.cmd                                                                                                  | Batch           |        118 |         51 |         37 |        206 |
| d:\KhoiDz\package-manager\package-manager-be\pom.xml                                                                                                   | XML             |         72 |          0 |          9 |         81 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\PackageManagerBeApplication.java                                 | Java            |         15 |          0 |          6 |         21 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\config\WebConfig.java                                            | Java            |         15 |         41 |          3 |         59 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\controller\AuthController.java                                   | Java            |          7 |          0 |          3 |         10 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\controller\PackageController.java                                | Java            |        105 |          4 |         19 |        128 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\controller\StatisticsController.java                             | Java            |         65 |          0 |         12 |         77 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\controller\UploadController.java                                 | Java            |         35 |          0 |          6 |         41 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\converter\PackageConverter.java                                  | Java            |         42 |          0 |          7 |         49 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\converter\StatisticsConverter.java                               | Java            |         19 |          7 |          5 |         31 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\dto\statistics\bar\BarChartDto.java                              | Java            |         16 |          0 |          5 |         21 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\dto\statistics\line\LineChartDto.java                            | Java            |         12 |          0 |          4 |         16 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\dto\statistics\line\LineChartPoint.java                          | Java            |          8 |          0 |          4 |         12 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\dto\statistics\pie\PieChartDto.java                              | Java            |         12 |          0 |          3 |         15 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\dto\tables\HighestByDateDto.java                                 | Java            |         14 |          0 |          4 |         18 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\dto\tables\HighestByDepartmentByDateDto.java                     | Java            |         13 |          0 |          3 |         16 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\dto\tables\PackageDto.java                                       | Java            |         22 |          0 |          4 |         26 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\dto\tables\PackageDtoTable.java                                  | Java            |         12 |          0 |          4 |         16 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\dto\tables\UserDto.java                                          | Java            |         11 |          0 |          4 |         15 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\model\Package.java                                               | Java            |         38 |          0 |         10 |         48 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\model\User.java                                                  | Java            |         22 |          0 |         10 |         32 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\repository\PackageRepository.java                                | Java            |         30 |          0 |          7 |         37 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\repository\StatisticsRepository.java                             | Java            |         40 |          0 |         10 |         50 |
| d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\repository\UserRepository.java                                   | Java            |         11 |          0 |          3 |         14 |
